"lon","lat","ID","Ciudad"
-71.30042,-29.962047,103,"Gran Coquimbo"
-71.34314,-29.957686,104,"Gran Coquimbo"
-71.3041,-29.969617,105,"Gran Coquimbo"
-71.326209,-29.993859,106,"Gran Coquimbo"
-71.26084,-29.965837,107,"Gran Coquimbo"
-71.21069,-29.916634,108,"Gran Coquimbo"
-71.23717,-29.87681,109,"Gran Coquimbo"
-73.07383,-36.809228,1,"Gran Concepcion"
-73.04958,-36.829689,2,"Gran Concepcion"
-73.05666,-36.823845,3,"Gran Concepcion"
-73.05316,-36.842533,4,"Gran Concepcion"
-73.04147,-36.815178,5,"Gran Concepcion"
-73.11057,-36.84147,6,"Gran Concepcion"
-73.0377,-36.825783,7,"Gran Concepcion"
-73.04971,-36.832212,8,"Gran Concepcion"
-73.03352,-36.812767,9,"Gran Concepcion"
-73.05281,-36.820382,10,"Gran Concepcion"
-73.03652,-36.824347,11,"Gran Concepcion"
-73.02565,-36.912931,12,"Gran Concepcion"
-73.01473,-36.820043,13,"Gran Concepcion"
-73.05528,-36.813815,14,"Gran Concepcion"
-73.01663,-36.940041,15,"Gran Concepcion"
-73.04623,-36.8197,16,"Gran Concepcion"
-73.01578,-36.95589,17,"Gran Concepcion"
-73.1005,-36.846466,18,"Gran Concepcion"
-73.11654,-36.833543,19,"Gran Concepcion"
-73.02716,-36.929927,20,"Gran Concepcion"
-73.03898,-36.809528,21,"Gran Concepcion"
-72.99261,-36.827345,22,"Gran Concepcion"
-73.02054,-36.826155,23,"Gran Concepcion"
-73.12464,-36.860759,24,"Gran Concepcion"
-73.14106,-36.849744,25,"Gran Concepcion"
-73.12447,-36.829859,26,"Gran Concepcion"
-73.052,-36.82228,27,"Gran Concepcion"
-73.12965,-36.882141,28,"Gran Concepcion"
-73.03435,-36.81488,29,"Gran Concepcion"
-73.05913,-36.836062,30,"Gran Concepcion"
-73.05274,-36.822533,31,"Gran Concepcion"
-73.03768,-36.818532,32,"Gran Concepcion"
-73.03735,-36.798864,33,"Gran Concepcion"
-73.04563,-36.8061,34,"Gran Concepcion"
-73.14237,-36.845015,35,"Gran Concepcion"
-73.10227,-36.781631,36,"Gran Concepcion"
-73.08921,-36.776144,37,"Gran Concepcion"
-73.0851,-36.776686,38,"Gran Concepcion"
-73.09786,-36.784533,39,"Gran Concepcion"
-73.11633,-36.785736,40,"Gran Concepcion"
-73.10397,-36.789751,41,"Gran Concepcion"
-73.11549,-36.714052,42,"Gran Concepcion"
-73.11632,-36.714643,43,"Gran Concepcion"
-73.10284,-36.742668,44,"Gran Concepcion"
-73.09339,-36.754881,45,"Gran Concepcion"
