"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
38608706;1;1963;2;0;4;-1;0;11;0;150000;1;1;1;6;17,66
38608706;2;1990;2;2;6;6;0;14;0;120000;1;1;0;0;17,23
38608706;3;2002;1;2;3;4;0;14;0;0;2;1;1;2;29,20
38608706;4;2003;2;2;3;4;0;14;0;0;2;1;1;2;23,39
38608706;5;2010;2;3;1;1;0;14;0;0;2;1;1;2;30,39
38608707;1;1978;1;0;7;-1;1;4;1;650000;1;0;1;5;40,62
38608707;2;1988;2;1;7;-1;1;4;1;700000;1;1;1;3;21,43
38608707;3;2005;1;3;2;3;0;14;0;0;2;1;1;4;36,32
38608707;4;2008;2;3;1;2;0;14;0;0;2;1;1;4;37,81
38608708;1;1953;1;0;4;-1;0;3;2;240000;1;1;1;4;21,83
38608708;2;1970;2;1;4;-1;0;11;0;0;2;1;1;4;21,97
38608708;3;1994;1;2;4;4;0;14;0;0;2;1;1;2;31,94
38608708;4;2003;1;2;3;4;0;14;0;0;2;1;1;2;36,32
38608709;1;1962;1;0;4;-1;0;4;1;350000;1;1;0;0;23,52
38608709;2;1960;2;1;4;-1;0;11;0;125000;1;1;1;2;21,97
38608709;3;1985;1;2;5;-1;1;4;1;600000;1;1;1;7;40,62
38608709;4;1992;1;2;6;6;0;14;0;0;2;1;1;4;17,93
38608711;1;1981;1;0;5;-1;0;3;1;400000;1;0;1;12;40,62
38608711;2;1981;2;1;7;-1;1;4;1;400000;1;0;1;2;36,47
38608711;3;2002;2;2;3;4;0;14;0;0;2;0;1;4;29,10
38608711;4;2009;1;2;1;2;0;14;0;0;2;0;1;2;35,68
38611502;1;1959;2;0;4;-1;0;11;0;200000;1;1;1;4;21,97
38611502;2;1983;1;2;6;6;0;14;0;0;2;1;0;0;40,62
38611502;3;1987;1;2;4;-1;0;12;0;0;2;1;0;0;17,93
38611502;4;1992;1;2;4;4;0;14;0;0;2;1;1;4;17,93
38611503;1;1956;1;0;4;-1;0;4;1;850000;1;1;0;0;23,52
38611503;2;1959;2;1;4;-1;0;11;0;0;2;1;0;0;21,97
38611503;3;1985;2;2;6;6;0;14;0;0;2;0;1;4;36,47
38611503;4;1990;2;2;6;6;0;14;0;0;2;0;1;4;21,43
38611504;1;1968;1;0;7;-1;1;1;1;700000;1;1;1;6;23,52
38611504;2;1974;2;1;6;-1;0;11;0;0;2;0;1;2;36,47
38611504;3;2005;1;2;2;3;0;14;0;0;2;0;1;2;36,32
38611504;4;2009;2;2;1;-1;0;13;0;0;2;1;0;0;37,81
38612401;1;1952;1;0;4;-1;0;3;3;180000;1;1;1;5;72,38
38612401;2;1962;2;1;4;-1;0;11;0;60000;1;1;1;5;72,84
38612401;3;1986;1;2;5;7;0;14;0;100000;1;1;1;3;134,67
38612401;4;1989;2;2;4;-1;0;3;3;150000;1;1;1;5;71,06
38612401;5;2002;2;3;3;4;0;14;0;0;2;1;1;2;96,47
38612401;6;2007;1;3;1;2;0;14;0;0;2;0;1;2;118,31
38612402;1;1944;1;0;3;-1;0;9;0;150000;1;1;0;0;26,29
38612402;2;1947;2;1;4;-1;0;11;0;100000;1;1;1;2;27,67
38612801;1;1959;1;0;4;-1;0;3;2;400000;1;1;1;3;19,94
38612801;2;1958;2;1;4;-1;0;11;0;0;2;1;1;5;18,63
38612801;3;1998;1;2;3;4;0;14;0;0;2;1;1;2;30,80
38612802;1;1969;1;0;7;-1;0;4;1;600000;1;0;1;8;23,52
