IDFolio;IDPersona;IDViaje;Factor;ModoAgregado;TiempoViaje;Dist_Viaje_mt;Proposito;PropositoESTRAUS;Edad;Sexo;Ingreso;Actividad
133018;1;1;11,49686999;Transporte Público;0:30:00;10949,9;Trámites;Otros;75;Masculino;0;Jubilado Inactivo
133018;1;2;11,49686999;Transporte Público;0:30:00;10949,9;Volver a casa;Otros;75;Masculino;0;Jubilado Inactivo
133018;2;1;26,33343242;Transporte Público;0:30:00;10949,9;Trámites;Otros;44;Femenino;120000;Trabajador de Cuenta Propia
133018;2;2;26,33343242;Transporte Público;0:30:00;10949,9;Volver a casa;Otros;44;Femenino;120000;Trabajador de Cuenta Propia
133019;1;1;47,36951016;No Motorizado;0:30:00;5103,97;Volver a casa;Trabajo;50;Masculino;205000;Trabajador de Cuenta Propia
133019;1;2;47,36951016;No Motorizado;0:20:00;5103,97;Al Trabajo;Trabajo;50;Masculino;205000;Trabajador de Cuenta Propia
133019;2;1;27,26051387;Transporte Público;0:30:00;8573,94;Al Trabajo;Trabajo;50;Femenino;205000;Empleado (excepto F.F.A.A)
133019;2;2;27,26051387;Transporte Público;0:30:00;8573,94;Volver a casa;Trabajo;50;Femenino;205000;Empleado (excepto F.F.A.A)
133019;3;1;39,38520269;Transporte Privado;0:30:00;10949,9;Al Trabajo;Trabajo;35;Masculino;300000;Empleado (excepto F.F.A.A)
133019;3;2;39,38520269;Transporte Privado;0:30:00;10949,9;Volver a casa;Trabajo;35;Masculino;300000;Empleado (excepto F.F.A.A)
133030;1;1;18,75848495;Transporte Público;0:35:00;3507,4;Trámites;Otros;58;Femenino;0;Trabajador de Cuenta Propia
133030;1;2;18,75848495;Transporte Público;0:45:00;3507,4;Volver a casa;Otros;58;Femenino;0;Trabajador de Cuenta Propia
133033;1;1;49,22041341;Transporte Público;0:20:00;8573,94;Al Trabajo;Trabajo;43;Masculino;525000;Empleado (excepto F.F.A.A)
133033;1;2;49,22041341;Transporte Público;0:25:00;8573,94;Volver a casa;Trabajo;43;Masculino;525000;Empleado (excepto F.F.A.A)
133033;2;1;28,32568371;Transporte Público;0:30:00;10949,9;Trámites;Otros;44;Femenino;0;Duena de Casa
133033;2;2;28,32568371;Transporte Público;0:25:00;10949,9;Volver a casa;Otros;44;Femenino;0;Duena de Casa
133033;3;1;60,68996145;Caminata;0:05:00;0;Al Estudio;Estudio;14;Masculino;0;Estudiante
133033;3;2;60,68996145;Caminata;0:05:00;5103,97;Volver a casa;Estudio;14;Masculino;0;Estudiante
133033;4;1;26,6560004;Caminata;0:05:00;0;Al Estudio;Estudio;9;Femenino;0;Estudiante
133033;4;2;26,6560004;Caminata;0:05:00;5103,97;Volver a casa;Estudio;9;Femenino;0;Estudiante
133033;5;1;26,6560004;Caminata;0:05:00;0;Al Estudio;Estudio;11;Femenino;0;Estudiante
133033;5;2;26,6560004;Caminata;0:05:00;5103,97;Volver a casa;Estudio;11;Femenino;0;Estudiante
133078;1;1;47,36951016;Transporte Público;0:25:00;8671,89;Por Trabajo;Trabajo;53;Masculino;0;Cesante
133078;1;2;47,36951016;Transporte Público;0:40:00;8671,89;Volver a casa;Trabajo;53;Masculino;0;Cesante
133078;2;1;27,26051387;Transporte Público;0:30:00;10949,9;Trámites;Otros;55;Femenino;205000;Trabajador Ocasional
133078;2;2;27,26051387;Transporte Público;0:30:00;10949,9;Volver a casa;Otros;55;Femenino;205000;Trabajador Ocasional
133078;3;1;27,7836352;Transporte Público;0:30:00;8799,89;Al Estudio;Estudio;20;Masculino;0;Estudiante
133078;3;2;27,7836352;Transporte Público;0:30:00;8799,89;Volver a casa;Estudio;20;Masculino;0;Estudiante
133081;1;1;17,14491106;Transporte Público;0:30:00;8573,94;Otra Cosa;Otros;71;Femenino;120000;Jubilado Inactivo
133081;1;2;17,14491106;Transporte Privado;0:35:00;0;Buscar/dejar alguien;Otros;71;Femenino;120000;Jubilado Inactivo
133081;1;3;17,14491106;Transporte Público;0:15:00;13517,75;Otra Cosa;Otros;71;Femenino;120000;Jubilado Inactivo
133081;1;4;17,14491106;Transporte Público;0:30:00;9779,21;Volver a casa;Otros;71;Femenino;120000;Jubilado Inactivo
133116;1;1;73,82657276;Transporte Privado;0:10:00;0;Al Trabajo;Trabajo;52;Femenino;205000;Empleado (excepto F.F.A.A)
133116;1;2;73,82657276;Transporte Público;0:15:00;0;Volver a casa;Trabajo;52;Femenino;205000;Empleado (excepto F.F.A.A)
133116;2;1;68,37177408;Caminata;0:10:00;0;Buscar/dejar alguien;Estudio;30;Femenino;0;Duena de Casa
133116;2;2;68,37177408;Caminata;0:10:00;3454,23;Volver a casa;Estudio;30;Femenino;0;Duena de Casa
133116;2;3;68,37177408;Transporte Público;0:30:00;6646,39;Trámites;Otros;30;Femenino;0;Duena de Casa
133116;2;4;68,37177408;Transporte Público;0:40:00;6646,39;Volver a casa;Otros;30;Femenino;0;Duena de Casa
133116;2;5;68,37177408;Caminata;0:10:00;0;Buscar/dejar alguien;Estudio;30;Femenino;0;Duena de Casa
133116;2;6;68,37177408;Caminata;0:10:00;3454,23;Volver a casa;Estudio;30;Femenino;0;Duena de Casa
133116;3;1;68,37177408;Transporte Privado;0:10:00;0;Al Trabajo;Trabajo;25;Femenino;205000;Empleado (excepto F.F.A.A)
