"ID","walkshed.text"
11,"{""type"":""Polygon"",""coordinates"":[[[-73.234,-39.8298],[-73.2317,-39.8254],[-73.2314,-39.8243],[-73.2305,-39.823],[-73.2302,-39.8227],[-73.2266,-39.8232],[-73.2228,-39.8239],[-73.2214,-39.8239],[-73.221,-39.8239],[-73.218,-39.8241],[-73.2154,-39.8245],[-73.2152,-39.8251],[-73.212,-39.8283],[-73.2118,-39.8289],[-73.2116,-39.8295],[-73.2112,-39.8308],[-73.2105,-39.834],[-73.2116,-39.8368],[-73.2121,-39.8367],[-73.2164,-39.8385],[-73.2168,-39.839],[-73.2172,-39.8395],[-73.2177,-39.84],[-73.2178,-39.8402],[-73.2216,-39.8396],[-73.2235,-39.8387],[-73.2253,-39.8377],[-73.2256,-39.8375],[-73.2289,-39.8341],[-73.23,-39.8338],[-73.2306,-39.8335],[-73.2316,-39.8329],[-73.234,-39.8298]]]}"
12,"{""type"":""Polygon"",""coordinates"":[[[-73.2258,-39.8096],[-73.2234,-39.806],[-73.2231,-39.8057],[-73.2226,-39.8056],[-73.2216,-39.8059],[-73.2197,-39.8015],[-73.2174,-39.8003],[-73.2158,-39.7983],[-73.2147,-39.7977],[-73.2141,-39.7973],[-73.2139,-39.7973],[-73.2135,-39.8022],[-73.2133,-39.8034],[-73.2129,-39.8064],[-73.2137,-39.808],[-73.2151,-39.8099],[-73.2166,-39.8137],[-73.2179,-39.8153],[-73.2195,-39.816],[-73.2222,-39.8158],[-73.225,-39.8156],[-73.2257,-39.8141],[-73.2258,-39.8096]]]}"
13,"{""type"":""Polygon"",""coordinates"":[[[-73.2191,-39.8412],[-73.2183,-39.8395],[-73.2173,-39.8348],[-73.2172,-39.8331],[-73.2172,-39.8322],[-73.2137,-39.8323],[-73.2101,-39.8315],[-73.2093,-39.8314],[-73.2084,-39.8313],[-73.2076,-39.8315],[-73.2062,-39.8319],[-73.2042,-39.8325],[-73.2024,-39.833],[-73.1994,-39.8357],[-73.1985,-39.8362],[-73.1985,-39.8368],[-73.1994,-39.8397],[-73.2002,-39.8402],[-73.2006,-39.8405],[-73.201,-39.8407],[-73.201,-39.8455],[-73.2004,-39.8459],[-73.198,-39.8478],[-73.198,-39.8478],[-73.203,-39.8477],[-73.2068,-39.8476],[-73.2087,-39.8476],[-73.2116,-39.8474],[-73.2149,-39.8444],[-73.2159,-39.8437],[-73.2191,-39.8412]]]}"
14,"{""type"":""Polygon"",""coordinates"":[[[-73.2269,-39.8239],[-73.2267,-39.8232],[-73.2228,-39.8239],[-73.2214,-39.8239],[-73.2212,-39.8239],[-73.221,-39.8239],[-73.2209,-39.824],[-73.2162,-39.8239],[-73.2152,-39.8223],[-73.2152,-39.8223],[-73.2117,-39.8188],[-73.2099,-39.817],[-73.206,-39.8189],[-73.2051,-39.8235],[-73.2048,-39.8241],[-73.2046,-39.8254],[-73.2034,-39.8291],[-73.204,-39.8301],[-73.2044,-39.8303],[-73.2089,-39.831],[-73.2121,-39.832],[-73.2159,-39.8318],[-73.22,-39.8298],[-73.2225,-39.8294],[-73.2243,-39.8289],[-73.2257,-39.8252],[-73.2269,-39.8239]]]}"
15,"{""type"":""Polygon"",""coordinates"":[[[-73.2225,-39.8374],[-73.2225,-39.8372],[-73.2218,-39.8338],[-73.2217,-39.8304],[-73.2214,-39.8288],[-73.2205,-39.8274],[-73.2197,-39.8262],[-73.2163,-39.8251],[-73.2125,-39.8247],[-73.2087,-39.8246],[-73.2063,-39.8251],[-73.2052,-39.8256],[-73.2047,-39.8264],[-73.2018,-39.8295],[-73.1995,-39.8311],[-73.1987,-39.8317],[-73.2006,-39.8355],[-73.2007,-39.8364],[-73.2008,-39.8372],[-73.2008,-39.8377],[-73.2017,-39.8388],[-73.2044,-39.84],[-73.2069,-39.8405],[-73.2072,-39.8406],[-73.2109,-39.8405],[-73.2131,-39.8402],[-73.2171,-39.8384],[-73.2184,-39.8383],[-73.2219,-39.8376],[-73.2225,-39.8374]]]}"
16,"{""type"":""Polygon"",""coordinates"":[[[-73.2679,-39.8078],[-73.267,-39.8087],[-73.2641,-39.8244],[-73.2629,-39.8233],[-73.2624,-39.8228],[-73.2623,-39.8227],[-73.262,-39.8223],[-73.2619,-39.822],[-73.2618,-39.8218],[-73.2617,-39.8216],[-73.2616,-39.8215],[-73.2572,-39.8193],[-73.2568,-39.8196],[-73.2567,-39.8197],[-73.2566,-39.8198],[-73.2564,-39.8199],[-73.2563,-39.82],[-73.2561,-39.82],[-73.256,-39.82],[-73.2557,-39.82],[-73.2543,-39.8198],[-73.2522,-39.8172],[-73.2511,-39.8149],[-73.2493,-39.8115],[-73.2509,-39.8094],[-73.2515,-39.8088],[-73.2544,-39.805],[-73.2561,-39.8056],[-73.2599,-39.8064],[-73.2645,-39.8064],[-73.2672,-39.8072],[-73.2679,-39.8078]]]}"
17,"{""type"":""Polygon"",""coordinates"":[[[-73.2328,-39.8508],[-73.2316,-39.8535],[-73.2307,-39.8567],[-73.2306,-39.8571],[-73.2281,-39.8563],[-73.2269,-39.8535],[-73.2264,-39.8532],[-73.222,-39.8541],[-73.2224,-39.858],[-73.2218,-39.8571],[-73.2207,-39.8556],[-73.2207,-39.8555],[-73.2191,-39.8516],[-73.2181,-39.85],[-73.218,-39.8499],[-73.2144,-39.8479],[-73.2117,-39.8488],[-73.2116,-39.8482],[-73.2122,-39.8464],[-73.2144,-39.8431],[-73.2147,-39.8419],[-73.2177,-39.8407],[-73.2198,-39.8417],[-73.2243,-39.8435],[-73.2246,-39.8437],[-73.2243,-39.8487],[-73.2266,-39.85],[-73.2278,-39.8501],[-73.2283,-39.8501],[-73.2289,-39.85],[-73.2295,-39.8501],[-73.2316,-39.8498],[-73.2317,-39.85],[-73.2328,-39.8508]]]}"
18,"{""type"":""Polygon"",""coordinates"":[[[-73.2464,-39.8377],[-73.2464,-39.8378],[-73.2459,-39.8385],[-73.2455,-39.8386],[-73.2408,-39.8388],[-73.2363,-39.8403],[-73.2328,-39.8422],[-73.2307,-39.841],[-73.23,-39.8401],[-73.2265,-39.8377],[-73.225,-39.8342],[-73.2239,-39.8328],[-73.2235,-39.8323],[-73.2269,-39.829],[-73.2304,-39.8296],[-73.2329,-39.8258],[-73.233,-39.8258],[-73.2359,-39.825],[-73.2397,-39.826],[-73.244,-39.8278],[-73.2459,-39.8287],[-73.2455,-39.833],[-73.2463,-39.8371],[-73.2463,-39.8373],[-73.2464,-39.8376],[-73.2464,-39.8377]]]}"
19,"{""type"":""Polygon"",""coordinates"":[[[-73.4024,-39.8703],[-73.4021,-39.8692],[-73.4016,-39.8691],[-73.3987,-39.8671],[-73.3974,-39.8654],[-73.3939,-39.8647],[-73.3929,-39.8653],[-73.3927,-39.8657],[-73.3952,-39.8695],[-73.3922,-39.8734],[-73.3916,-39.8735],[-73.391,-39.8736],[-73.39,-39.8739],[-73.3897,-39.874],[-73.3866,-39.8757],[-73.3883,-39.8754],[-73.3921,-39.8752],[-73.3968,-39.8753],[-73.3976,-39.8754],[-73.3985,-39.8752],[-73.399,-39.875],[-73.3995,-39.8744],[-73.3995,-39.8732],[-73.4024,-39.8703]]]}"
20,"{""type"":""Polygon"",""coordinates"":[[[-73.2215,-39.8277],[-73.2213,-39.8273],[-73.2189,-39.8242],[-73.2149,-39.822],[-73.2129,-39.821],[-73.2095,-39.8198],[-73.2062,-39.8191],[-73.2051,-39.8235],[-73.2048,-39.8241],[-73.2046,-39.8254],[-73.2022,-39.8292],[-73.2018,-39.8295],[-73.2001,-39.832],[-73.2028,-39.8354],[-73.2031,-39.8358],[-73.2044,-39.8365],[-73.2084,-39.837],[-73.2126,-39.8359],[-73.2138,-39.8358],[-73.2149,-39.8358],[-73.2154,-39.8358],[-73.2168,-39.8357],[-73.2184,-39.8357],[-73.2186,-39.8356],[-73.2186,-39.8351],[-73.2196,-39.8307],[-73.2215,-39.8277]]]}"
