"ID","walkshed.text"
11,"{""type"":""Polygon"",""coordinates"":[[[-72.6136,-38.7443],[-72.6128,-38.7415,0.0],[-72.6117,-38.7406],[-72.6102,-38.7396],[-72.6081,-38.7385,0.0],[-72.6045,-38.7369,0.0],[-72.6035,-38.7364,0.0],[-72.6034,-38.7365],[-72.603,-38.7365],[-72.6008,-38.7369],[-72.5978,-38.7351,0.0],[-72.5949,-38.7367,0.0],[-72.5936,-38.7402,0.0],[-72.5926,-38.7412,0.0],[-72.5914,-38.7422],[-72.591,-38.7426],[-72.5894,-38.7445],[-72.5912,-38.7472],[-72.5928,-38.7476],[-72.5973,-38.7463],[-72.5981,-38.7463],[-72.6012,-38.7475],[-72.6033,-38.7504],[-72.6058,-38.7513],[-72.6073,-38.751],[-72.6091,-38.7502],[-72.6124,-38.7481],[-72.6124,-38.7481,0.0],[-72.6136,-38.7443]]]}"
12,"{""type"":""Polygon"",""coordinates"":[[[-72.6199,-38.7211,0.0],[-72.6196,-38.7199,0.0],[-72.6194,-38.7152],[-72.6185,-38.7142],[-72.6156,-38.7145,0.0],[-72.6155,-38.7145],[-72.6153,-38.7146],[-72.6152,-38.7146],[-72.6133,-38.7157,0.0],[-72.6097,-38.7178],[-72.6089,-38.7182],[-72.6085,-38.7185],[-72.6084,-38.7186],[-72.6076,-38.719],[-72.6075,-38.7191],[-72.6069,-38.7195],[-72.6065,-38.7198],[-72.6064,-38.72],[-72.606,-38.7203],[-72.6054,-38.721],[-72.6053,-38.7212],[-72.6031,-38.7249],[-72.6024,-38.7261],[-72.6043,-38.7277],[-72.6046,-38.7279],[-72.6048,-38.7279],[-72.6067,-38.7276],[-72.6101,-38.7285],[-72.613,-38.728],[-72.6147,-38.7275],[-72.6154,-38.7273,0.0],[-72.6179,-38.7252,0.0],[-72.6194,-38.7228],[-72.6199,-38.7211,0.0]]]}"
13,"{""type"":""Polygon"",""coordinates"":[[[-72.6283,-38.7474],[-72.6282,-38.7463],[-72.6272,-38.7425],[-72.6268,-38.7391,0.0],[-72.6265,-38.7389,0.0],[-72.6233,-38.7373,0.0],[-72.6219,-38.7364],[-72.6194,-38.7355],[-72.6178,-38.7348,0.0],[-72.6141,-38.7349,0.0],[-72.6096,-38.7346],[-72.609,-38.7355],[-72.6083,-38.7385],[-72.6071,-38.7401],[-72.604,-38.7415,0.0],[-72.6039,-38.7417,0.0],[-72.6034,-38.7431],[-72.6035,-38.7432],[-72.6068,-38.7458,0.0],[-72.6076,-38.7467,0.0],[-72.6092,-38.7479,0.0],[-72.6131,-38.7505],[-72.6142,-38.7514],[-72.6182,-38.7525,0.0],[-72.6215,-38.7517],[-72.6225,-38.7508],[-72.6228,-38.7502],[-72.6237,-38.7491,0.0],[-72.6283,-38.7474]]]}"
14,"{""type"":""Polygon"",""coordinates"":[[[-72.5747,-38.7209],[-72.5746,-38.7209],[-72.5738,-38.7207],[-72.5731,-38.7205],[-72.5703,-38.7165],[-72.5704,-38.7158],[-72.5704,-38.7157],[-72.5704,-38.7156],[-72.5702,-38.7151],[-72.5701,-38.715],[-72.566,-38.7123],[-72.5645,-38.7119],[-72.5624,-38.7116,0.0],[-72.5591,-38.7113],[-72.5589,-38.7114],[-72.5582,-38.7118],[-72.558,-38.712],[-72.5543,-38.7146],[-72.5536,-38.7172,0.0],[-72.5538,-38.7173,0.0],[-72.5564,-38.7189],[-72.5583,-38.7203],[-72.5584,-38.7242,0.0],[-72.5584,-38.7243,0.0],[-72.5596,-38.7272,0.0],[-72.5597,-38.7273,0.0],[-72.5611,-38.7288,0.0],[-72.5612,-38.7288,0.0],[-72.5617,-38.7285,0.0],[-72.5664,-38.7275,0.0],[-72.5686,-38.7259,0.0],[-72.571,-38.7247,0.0],[-72.5723,-38.7242],[-72.5729,-38.724],[-72.5747,-38.7209]]]}"
15,"{""type"":""Polygon"",""coordinates"":[[[-72.6031,-38.7303],[-72.603,-38.73],[-72.6016,-38.7291],[-72.5978,-38.7265],[-72.5963,-38.7261],[-72.5921,-38.7258],[-72.5903,-38.7249],[-72.5902,-38.7249],[-72.5891,-38.7254],[-72.5857,-38.7279],[-72.5836,-38.7276],[-72.5834,-38.7279],[-72.5828,-38.7301],[-72.5818,-38.7341],[-72.5838,-38.7351],[-72.5875,-38.7377],[-72.5906,-38.739],[-72.5936,-38.7402],[-72.595,-38.7404],[-72.5963,-38.7401],[-72.5988,-38.7392],[-72.5993,-38.739],[-72.5994,-38.7389],[-72.6011,-38.7346,0.0],[-72.6031,-38.7303]]]}"
16,"{""type"":""Polygon"",""coordinates"":[[[-72.6035,-38.7619],[-72.6034,-38.761],[-72.6024,-38.7578],[-72.6017,-38.7576],[-72.5997,-38.7568],[-72.5962,-38.7541],[-72.5922,-38.7545],[-72.592,-38.7544],[-72.5911,-38.7541],[-72.5905,-38.7538],[-72.5902,-38.7536,0.0],[-72.5889,-38.7525],[-72.5881,-38.7489],[-72.5882,-38.7482],[-72.5845,-38.75],[-72.5843,-38.7502],[-72.5847,-38.7551],[-72.5843,-38.7563],[-72.5864,-38.7594],[-72.5874,-38.7612],[-72.5881,-38.7643,0.0],[-72.5916,-38.7649],[-72.592,-38.7649],[-72.5929,-38.7646],[-72.5935,-38.7644],[-72.5941,-38.7642],[-72.5964,-38.7635],[-72.5993,-38.7638],[-72.6035,-38.7619]]]}"
17,"{""type"":""Polygon"",""coordinates"":[[[-72.6328,-38.7339],[-72.6313,-38.73],[-72.6301,-38.729],[-72.6269,-38.7265,0.0],[-72.6259,-38.7261,0.0],[-72.6219,-38.7242,0.0],[-72.6207,-38.7236,0.0],[-72.6172,-38.7242,0.0],[-72.6166,-38.7244,0.0],[-72.6164,-38.7246,0.0],[-72.6132,-38.7282,0.0],[-72.6126,-38.7288],[-72.6124,-38.7295,0.0],[-72.6117,-38.7316,0.0],[-72.6104,-38.7352],[-72.6124,-38.7357],[-72.6145,-38.739,0.0],[-72.6189,-38.7408],[-72.6209,-38.7412],[-72.6244,-38.7421,0.0],[-72.6255,-38.7419],[-72.627,-38.7412],[-72.6297,-38.7389],[-72.6306,-38.7362,0.0],[-72.6328,-38.7339]]]}"
18,"{""type"":""Polygon"",""coordinates"":[[[-72.624,-38.7269],[-72.6237,-38.7222],[-72.6237,-38.7218],[-72.6214,-38.7197,0.0],[-72.6204,-38.7188,0.0],[-72.6191,-38.7187],[-72.6175,-38.7186],[-72.6131,-38.7178],[-72.6125,-38.7176,0.0],[-72.6109,-38.7182],[-72.6104,-38.7183],[-72.6062,-38.7208],[-72.6057,-38.7214],[-72.6031,-38.7249],[-72.6021,-38.7265],[-72.6017,-38.7274],[-72.6013,-38.7281],[-72.6009,-38.7293],[-72.6005,-38.7334],[-72.6006,-38.7335],[-72.6039,-38.7342],[-72.6071,-38.7348],[-72.6099,-38.735,0.0],[-72.6122,-38.7355],[-72.6152,-38.7361],[-72.6177,-38.7346],[-72.6213,-38.7313],[-72.6216,-38.7312,0.0],[-72.6239,-38.7293],[-72.624,-38.7269]]]}"
19,"{""type"":""Polygon"",""coordinates"":[[[-72.6335,-38.7162],[-72.6333,-38.7128,0.0],[-72.6333,-38.7128,0.0],[-72.6288,-38.7122],[-72.6283,-38.712],[-72.6267,-38.7115],[-72.6234,-38.7098],[-72.6223,-38.7094],[-72.6195,-38.7087],[-72.6192,-38.7091],[-72.6193,-38.7092],[-72.6185,-38.7135],[-72.6161,-38.7145],[-72.6156,-38.7145,0.0],[-72.6155,-38.7145],[-72.6153,-38.7146,0.0],[-72.6152,-38.7146],[-72.6146,-38.7149],[-72.6133,-38.7157,0.0],[-72.6117,-38.7167],[-72.612,-38.7192],[-72.6109,-38.7236],[-72.6133,-38.7261],[-72.6134,-38.7262],[-72.6152,-38.7264,0.0],[-72.6179,-38.7267],[-72.6223,-38.7272,0.0],[-72.6264,-38.7276],[-72.6275,-38.7264],[-72.6271,-38.7238],[-72.6284,-38.7214],[-72.6313,-38.7192],[-72.6335,-38.7168],[-72.6335,-38.7162]]]}"
20,"{""type"":""Polygon"",""coordinates"":[[[-72.6194,-38.75,0.0],[-72.619,-38.7533,0.0],[-72.6188,-38.7541],[-72.6167,-38.7551],[-72.6157,-38.7555],[-72.6146,-38.756],[-72.6134,-38.7563],[-72.6093,-38.759],[-72.6093,-38.7594],[-72.6093,-38.7601],[-72.6092,-38.76],[-72.6092,-38.7594],[-72.6092,-38.7583],[-72.6092,-38.7574],[-72.6059,-38.7539],[-72.6057,-38.7538],[-72.6055,-38.7538],[-72.6053,-38.7537],[-72.605,-38.7536],[-72.6048,-38.7535],[-72.6046,-38.7534],[-72.6045,-38.7533],[-72.6045,-38.7533],[-72.6039,-38.7526],[-72.6037,-38.7523],[-72.6035,-38.752],[-72.6034,-38.7517],[-72.6033,-38.7511],[-72.6031,-38.7504],[-72.6032,-38.7501],[-72.604,-38.7476],[-72.6034,-38.7441],[-72.6038,-38.743],[-72.6042,-38.7418,0.0],[-72.6049,-38.7416,0.0],[-72.6049,-38.7416,0.0],[-72.6064,-38.7423],[-72.6067,-38.7424],[-72.6112,-38.7439],[-72.6114,-38.744],[-72.6128,-38.7443],[-72.6133,-38.7444,0.0],[-72.6134,-38.7444,0.0],[-72.6136,-38.7445,0.0],[-72.6136,-38.7445,0.0],[-72.6138,-38.7445],[-72.6142,-38.7446],[-72.6148,-38.745,0.0],[-72.6177,-38.7477,0.0],[-72.619,-38.7481],[-72.6194,-38.75,0.0]]]}"
