"ID","walkshed.text"
11,"{""type"":""Polygon"",""coordinates"":[[[-71.2471,-29.8855],[-71.2467,-29.8885],[-71.2439,-29.8913],[-71.2437,-29.8913,0.0],[-71.2436,-29.8909],[-71.2435,-29.8907],[-71.2433,-29.8899],[-71.2385,-29.8913],[-71.2385,-29.8914],[-71.2385,-29.8914],[-71.2384,-29.8919],[-71.2349,-29.8939],[-71.2348,-29.8938],[-71.2345,-29.8934],[-71.234,-29.8928],[-71.2334,-29.8922],[-71.2282,-29.8907],[-71.2259,-29.8893],[-71.227,-29.8856],[-71.2282,-29.8825],[-71.23,-29.8813],[-71.2342,-29.8808],[-71.2351,-29.8813],[-71.2394,-29.8798],[-71.244,-29.8809],[-71.2464,-29.8825],[-71.247,-29.8831],[-71.2471,-29.8855]]]}"
12,"{""type"":""Polygon"",""coordinates"":[[[-71.2714,-29.9495],[-71.2711,-29.9471],[-71.2692,-29.9448],[-71.2694,-29.9424],[-71.2678,-29.9395],[-71.2656,-29.9369],[-71.263,-29.9342],[-71.2617,-29.9334],[-71.2596,-29.9323],[-71.2591,-29.9331,0.0],[-71.2575,-29.9357],[-71.2569,-29.9369],[-71.2564,-29.938],[-71.2559,-29.9392],[-71.2555,-29.9402],[-71.2554,-29.9408],[-71.2558,-29.9448],[-71.2556,-29.9458],[-71.2554,-29.9468],[-71.2552,-29.9474],[-71.255,-29.9481],[-71.2569,-29.9487],[-71.2596,-29.9493],[-71.2638,-29.9509],[-71.2659,-29.9518,0.0],[-71.2683,-29.9524,0.0],[-71.2698,-29.951],[-71.2714,-29.9495]]]}"
13,"{""type"":""Polygon"",""coordinates"":[[[-71.2686,-29.9301],[-71.2686,-29.93],[-71.264,-29.9318],[-71.2617,-29.9297],[-71.2615,-29.9293],[-71.2613,-29.9288],[-71.2611,-29.9284],[-71.2609,-29.9275],[-71.2571,-29.9243,0.0],[-71.2568,-29.9241,0.0],[-71.2567,-29.924,0.0],[-71.2536,-29.9232],[-71.252,-29.926,0.0],[-71.2504,-29.9289],[-71.2495,-29.9313],[-71.2492,-29.932],[-71.2501,-29.9344],[-71.2496,-29.9387],[-71.2533,-29.9397],[-71.2557,-29.9404],[-71.2605,-29.9415],[-71.2607,-29.9415],[-71.263,-29.9408,0.0],[-71.2645,-29.9382],[-71.2649,-29.9373],[-71.2665,-29.934],[-71.2686,-29.9301]]]}"
14,"{""type"":""Polygon"",""coordinates"":[[[-71.2334,-29.9493],[-71.2308,-29.9486],[-71.2262,-29.9494],[-71.2245,-29.9479],[-71.2243,-29.9477],[-71.2243,-29.9476],[-71.2241,-29.9476],[-71.2239,-29.9475],[-71.2237,-29.9475],[-71.2235,-29.9476],[-71.2234,-29.9477],[-71.2223,-29.9495],[-71.2222,-29.9504],[-71.2245,-29.9538],[-71.2205,-29.9559],[-71.2259,-29.9566],[-71.2302,-29.9579],[-71.2293,-29.9562],[-71.2301,-29.9527],[-71.2322,-29.9513],[-71.2324,-29.9511],[-71.2334,-29.9493]]]}"
15,"{""type"":""Polygon"",""coordinates"":[[[-71.2443,-29.9012],[-71.2441,-29.9016],[-71.2439,-29.9018],[-71.2428,-29.903],[-71.2415,-29.9045],[-71.2377,-29.903],[-71.2359,-29.9038],[-71.2352,-29.9044],[-71.2345,-29.9051],[-71.2327,-29.9059],[-71.2315,-29.9063],[-71.2304,-29.9066],[-71.2301,-29.9049],[-71.2251,-29.9021],[-71.2243,-29.9021],[-71.2257,-29.902],[-71.2264,-29.902],[-71.2293,-29.9019],[-71.2297,-29.9018],[-71.2325,-29.9016],[-71.2333,-29.9019],[-71.2348,-29.9026],[-71.2378,-29.9028],[-71.2391,-29.8996],[-71.2393,-29.8989],[-71.2423,-29.8994],[-71.2424,-29.8995],[-71.2443,-29.9012]]]}"
16,"{""type"":""Polygon"",""coordinates"":[[[-71.2368,-29.8821],[-71.2366,-29.8835],[-71.2361,-29.8849],[-71.2353,-29.8855],[-71.2327,-29.8871,0.0],[-71.2325,-29.8872],[-71.2324,-29.8872,0.0],[-71.2284,-29.8846],[-71.2259,-29.8847],[-71.2242,-29.8849],[-71.2232,-29.8852],[-71.2217,-29.8855],[-71.2215,-29.8856],[-71.221,-29.8857],[-71.2205,-29.8858],[-71.2204,-29.8858],[-71.2188,-29.8849,0.0],[-71.2196,-29.884],[-71.2207,-29.8795],[-71.2211,-29.8771],[-71.2211,-29.877],[-71.2212,-29.8768],[-71.2256,-29.8757],[-71.2263,-29.8755],[-71.2284,-29.8761],[-71.2313,-29.8775],[-71.2356,-29.8799],[-71.2368,-29.8821]]]}"
17,"{""type"":""Polygon"",""coordinates"":[[[-71.2545,-29.8777],[-71.2545,-29.8775],[-71.2533,-29.874],[-71.2523,-29.873],[-71.2518,-29.8729],[-71.2484,-29.8716],[-71.2469,-29.8698],[-71.2465,-29.8696],[-71.2449,-29.8687],[-71.2447,-29.8688],[-71.2428,-29.8701],[-71.2424,-29.8705,0.0],[-71.2408,-29.8721],[-71.2408,-29.8721],[-71.2378,-29.8753,0.0],[-71.2358,-29.8777],[-71.2351,-29.88],[-71.234,-29.8828],[-71.2347,-29.8832],[-71.2357,-29.8837,0.0],[-71.2394,-29.8861],[-71.2401,-29.8864],[-71.2414,-29.8871],[-71.2428,-29.8877,0.0],[-71.2462,-29.888],[-71.2478,-29.8862,0.0],[-71.2515,-29.8852],[-71.2536,-29.8816],[-71.2545,-29.8777]]]}"
18,"{""type"":""Polygon"",""coordinates"":[[[-71.2689,-29.9419],[-71.2681,-29.9406],[-71.2663,-29.938],[-71.2658,-29.9342],[-71.2634,-29.932],[-71.2633,-29.9319],[-71.2621,-29.9313],[-71.2587,-29.9296],[-71.2564,-29.933],[-71.2552,-29.9351],[-71.2539,-29.9376],[-71.2538,-29.9379],[-71.2536,-29.9394],[-71.2543,-29.9421],[-71.2553,-29.9421],[-71.2591,-29.9445],[-71.26,-29.9452],[-71.2648,-29.9463],[-71.265,-29.9464],[-71.2672,-29.9468,0.0],[-71.2687,-29.9425],[-71.2689,-29.9419]]]}"
19,"{""type"":""Polygon"",""coordinates"":[[[-71.2531,-29.9022],[-71.25,-29.8984],[-71.2494,-29.898],[-71.2457,-29.8953],[-71.243,-29.899],[-71.2394,-29.8989],[-71.2393,-29.8989],[-71.239,-29.8988],[-71.2387,-29.8987],[-71.2354,-29.8951],[-71.2353,-29.8948],[-71.2352,-29.8945],[-71.2351,-29.8943],[-71.2351,-29.8942],[-71.2351,-29.8941],[-71.235,-29.894],[-71.235,-29.894],[-71.2348,-29.8937],[-71.2353,-29.8951],[-71.2348,-29.8988],[-71.231,-29.9017],[-71.2308,-29.9036],[-71.2309,-29.9065],[-71.2351,-29.9078],[-71.236,-29.9085],[-71.2389,-29.9094],[-71.2426,-29.911],[-71.2438,-29.9113],[-71.247,-29.9101],[-71.249,-29.9072],[-71.2502,-29.906,0.0],[-71.2517,-29.9044],[-71.2525,-29.9033],[-71.2531,-29.9022]]]}"
20,"{""type"":""Polygon"",""coordinates"":[[[-71.3498,-29.9569],[-71.3492,-29.9565],[-71.3482,-29.9556],[-71.3481,-29.9556],[-71.3447,-29.9541],[-71.3424,-29.9526],[-71.3408,-29.9518],[-71.3395,-29.9511],[-71.3375,-29.9501],[-71.3366,-29.9511,0.0],[-71.3361,-29.9519],[-71.336,-29.9522],[-71.3358,-29.9542],[-71.3358,-29.9545],[-71.3358,-29.9547],[-71.3358,-29.9549],[-71.3358,-29.9554],[-71.3358,-29.956],[-71.3326,-29.9596],[-71.3317,-29.9597],[-71.3315,-29.9597],[-71.3308,-29.963],[-71.3311,-29.9649],[-71.3321,-29.966],[-71.3353,-29.9685,0.0],[-71.3372,-29.9696],[-71.3386,-29.9689],[-71.3426,-29.9684],[-71.3452,-29.9681],[-71.346,-29.9679],[-71.348,-29.9663],[-71.3479,-29.9649],[-71.3491,-29.9604],[-71.3496,-29.9592],[-71.3498,-29.9573],[-71.3498,-29.9569]]]}"
