"ID","walkshed.text"
11,"{""type"":""Polygon"",""coordinates"":[[[-73.048,-36.8268],[-73.0468,-36.8238,0.0],[-73.045,-36.8205,0.0],[-73.0443,-36.8175],[-73.0426,-36.8152],[-73.0399,-36.8145,0.0],[-73.0383,-36.8145,0.0],[-73.0366,-36.8145,0.0],[-73.0348,-36.8149],[-73.0313,-36.815],[-73.0312,-36.815,0.0],[-73.0306,-36.8156],[-73.0307,-36.8179],[-73.0309,-36.8216],[-73.0299,-36.8238],[-73.0288,-36.8258],[-73.0287,-36.8261],[-73.0279,-36.8276],[-73.0281,-36.8279],[-73.0308,-36.8297],[-73.0327,-36.8322],[-73.034,-36.8327],[-73.0369,-36.8327],[-73.0402,-36.832],[-73.0435,-36.8316],[-73.0442,-36.8314],[-73.0471,-36.8302],[-73.048,-36.8268]]]}"
12,"{""type"":""Polygon"",""coordinates"":[[[-73.0314,-36.9105],[-73.0314,-36.9101],[-73.0314,-36.9096],[-73.0313,-36.9084],[-73.0312,-36.9079],[-73.0311,-36.9065],[-73.0311,-36.9061],[-73.0305,-36.9053],[-73.03,-36.9048],[-73.0279,-36.906],[-73.0274,-36.9063],[-73.0266,-36.9074],[-73.0226,-36.9079],[-73.0225,-36.9078],[-73.0224,-36.9078],[-73.0217,-36.908],[-73.0213,-36.9081],[-73.0211,-36.9082],[-73.0204,-36.9086],[-73.0183,-36.913],[-73.0178,-36.9137],[-73.0189,-36.9159],[-73.0215,-36.9158],[-73.0218,-36.9158],[-73.0226,-36.9159],[-73.0229,-36.9159],[-73.0255,-36.9201,0.0],[-73.0251,-36.9207,0.0],[-73.0251,-36.9207],[-73.026,-36.9208],[-73.027,-36.9209,0.0],[-73.0286,-36.9203,0.0],[-73.0293,-36.9191],[-73.0301,-36.9179],[-73.0301,-36.9179],[-73.0295,-36.9165],[-73.0305,-36.9128],[-73.0307,-36.9125],[-73.0309,-36.9122],[-73.0311,-36.9116],[-73.0313,-36.911],[-73.0314,-36.9108],[-73.0314,-36.9106],[-73.0314,-36.9105]]]}"
13,"{""type"":""Polygon"",""coordinates"":[[[-73.0269,-36.816,0.0],[-73.0265,-36.817],[-73.0261,-36.8178],[-73.0257,-36.8187],[-73.0236,-36.823],[-73.0224,-36.8253],[-73.0177,-36.8259],[-73.0174,-36.8261],[-73.0156,-36.8256],[-73.0151,-36.8255],[-73.0145,-36.8254,0.0],[-73.0125,-36.8242],[-73.0124,-36.8241],[-73.0113,-36.8238],[-73.0077,-36.826],[-73.0073,-36.8263,0.0],[-73.0066,-36.8264,0.0],[-73.0048,-36.8245],[-73.0018,-36.8221],[-73.0044,-36.8211],[-73.0074,-36.8217,0.0],[-73.0105,-36.8195],[-73.0131,-36.8184],[-73.0138,-36.818],[-73.0162,-36.8173],[-73.0193,-36.8161],[-73.0211,-36.815],[-73.0214,-36.8148],[-73.0221,-36.8146,0.0],[-73.0223,-36.8146],[-73.0269,-36.816,0.0]]]}"
14,"{""type"":""Polygon"",""coordinates"":[[[-73.0657,-36.8136],[-73.0647,-36.8165],[-73.0641,-36.82],[-73.0633,-36.8202,0.0],[-73.0596,-36.821],[-73.0573,-36.8216,0.0],[-73.0558,-36.822,0.0],[-73.0522,-36.8227],[-73.0482,-36.8214,0.0],[-73.0463,-36.8171],[-73.0455,-36.8143],[-73.0437,-36.8102],[-73.0435,-36.8097],[-73.0442,-36.8089],[-73.0458,-36.8086],[-73.0473,-36.8082,0.0],[-73.0516,-36.8063],[-73.0541,-36.8061],[-73.0586,-36.8054],[-73.0617,-36.8067],[-73.0644,-36.8108],[-73.0657,-36.8136]]]}"
15,"{""type"":""Polygon"",""coordinates"":[[[-73.0287,-36.9444],[-73.0285,-36.9439],[-73.0263,-36.9397],[-73.0246,-36.9366],[-73.0233,-36.9341],[-73.0224,-36.932,0.0],[-73.0204,-36.9327],[-73.0174,-36.9336],[-73.0174,-36.9337],[-73.0146,-36.9345],[-73.013,-36.9354],[-73.0128,-36.9357],[-73.0118,-36.9379],[-73.0106,-36.9406],[-73.0104,-36.941],[-73.0104,-36.9412],[-73.0103,-36.9415],[-73.0103,-36.942],[-73.0104,-36.9438],[-73.0125,-36.9455],[-73.0148,-36.9489],[-73.015,-36.9491],[-73.0152,-36.9491],[-73.0199,-36.9474],[-73.0232,-36.9465],[-73.0258,-36.9454],[-73.0287,-36.9444]]]}"
16,"{""type"":""Polygon"",""coordinates"":[[[-73.0584,-36.8247,0.0],[-73.0576,-36.8218],[-73.0555,-36.8175],[-73.0552,-36.8166,0.0],[-73.0537,-36.8129,0.0],[-73.0531,-36.8114],[-73.0494,-36.8121,0.0],[-73.0482,-36.8125],[-73.048,-36.8126],[-73.0472,-36.8129],[-73.0435,-36.8139],[-73.042,-36.814],[-73.0399,-36.8144],[-73.0398,-36.8145,0.0],[-73.0365,-36.8156],[-73.0349,-36.8161],[-73.0359,-36.8209],[-73.0359,-36.8209],[-73.0361,-36.8218],[-73.0362,-36.8219],[-73.0366,-36.8235],[-73.0367,-36.8237],[-73.0389,-36.8267,0.0],[-73.0392,-36.8269],[-73.0419,-36.829],[-73.0437,-36.8286,0.0],[-73.0472,-36.8277,0.0],[-73.0495,-36.8272,0.0],[-73.0514,-36.8266,0.0],[-73.055,-36.8258],[-73.0584,-36.8247,0.0]]]}"
17,"{""type"":""Polygon"",""coordinates"":[[[-73.0239,-36.9515,0.0],[-73.0224,-36.9535,0.0],[-73.0202,-36.9554],[-73.0195,-36.9561],[-73.0188,-36.9567],[-73.0184,-36.957],[-73.0172,-36.9581,0.0],[-73.016,-36.959],[-73.0158,-36.9591],[-73.0156,-36.9592],[-73.0153,-36.9592],[-73.0149,-36.9592],[-73.0107,-36.9605],[-73.0099,-36.962],[-73.0098,-36.9623],[-73.0097,-36.9624],[-73.0096,-36.9626],[-73.0095,-36.9628],[-73.0093,-36.963],[-73.0092,-36.9631],[-73.0089,-36.9633],[-73.0088,-36.9634],[-73.0087,-36.9603],[-73.0087,-36.9602],[-73.0087,-36.9599],[-73.0087,-36.9596],[-73.0086,-36.9546],[-73.0088,-36.9546],[-73.009,-36.9547],[-73.0134,-36.9535],[-73.0134,-36.9515],[-73.0133,-36.951],[-73.0131,-36.9504],[-73.013,-36.9501],[-73.0128,-36.9498],[-73.0127,-36.9495],[-73.0127,-36.9494],[-73.0126,-36.9491],[-73.0125,-36.9488],[-73.0124,-36.9485],[-73.0123,-36.9481],[-73.012,-36.9474],[-73.0119,-36.9471],[-73.0161,-36.9469],[-73.0188,-36.9481],[-73.0227,-36.9507],[-73.0231,-36.9509],[-73.0232,-36.951,0.0],[-73.0232,-36.951,0.0],[-73.0233,-36.951],[-73.0233,-36.9511,0.0],[-73.0236,-36.9512,0.0],[-73.0238,-36.9513,0.0],[-73.0239,-36.9515,0.0]]]}"
18,"{""type"":""Polygon"",""coordinates"":[[[-73.11,-36.8434],[-73.1089,-36.8452],[-73.1089,-36.8453],[-73.1079,-36.8461],[-73.1062,-36.8469],[-73.1032,-36.8497],[-73.1026,-36.8502],[-73.1007,-36.8529],[-73.1006,-36.8555],[-73.1001,-36.8553],[-73.0999,-36.8551],[-73.1,-36.8545],[-73.1001,-36.8541],[-73.0975,-36.8502],[-73.0973,-36.8484],[-73.0935,-36.8468],[-73.0931,-36.8468],[-73.0924,-36.8458],[-73.0916,-36.8433],[-73.0914,-36.8417],[-73.0915,-36.8417,0.0],[-73.0923,-36.8416],[-73.0934,-36.8414],[-73.0956,-36.8406],[-73.0983,-36.8388,0.0],[-73.1023,-36.8386],[-73.1023,-36.8386],[-73.1038,-36.8389],[-73.1072,-36.8397,0.0],[-73.1094,-36.8414],[-73.11,-36.8434]]]}"
19,"{""type"":""Polygon"",""coordinates"":[[[-73.1259,-36.8282],[-73.1238,-36.8266],[-73.1214,-36.8256],[-73.1196,-36.8257],[-73.1189,-36.8259],[-73.1182,-36.8261],[-73.1176,-36.8263],[-73.1167,-36.8267],[-73.112,-36.8282],[-73.1114,-36.8283],[-73.1107,-36.8285],[-73.11,-36.8287],[-73.1096,-36.8288],[-73.1093,-36.8289],[-73.1075,-36.8305],[-73.1056,-36.8323],[-73.1075,-36.8345],[-73.1101,-36.8366],[-73.1111,-36.8372],[-73.1141,-36.8377],[-73.1183,-36.8377],[-73.1228,-36.8371],[-73.1229,-36.8365],[-73.1231,-36.8353],[-73.1233,-36.8343],[-73.1238,-36.8321],[-73.1258,-36.8286],[-73.1259,-36.8283,0.0],[-73.1259,-36.8282]]]}"
20,"{""type"":""Polygon"",""coordinates"":[[[-73.0362,-36.9273],[-73.0334,-36.9307],[-73.0319,-36.934],[-73.0316,-36.9349],[-73.0309,-36.9374],[-73.028,-36.9382],[-73.0274,-36.9384],[-73.0272,-36.9379],[-73.0226,-36.936],[-73.0219,-36.9361],[-73.0207,-36.9367],[-73.0206,-36.9367],[-73.0206,-36.9367,0.0],[-73.0204,-36.9365,0.0],[-73.0201,-36.9357],[-73.018,-36.9318],[-73.0174,-36.9301],[-73.0174,-36.9301],[-73.0176,-36.9299],[-73.0178,-36.9297],[-73.018,-36.9294],[-73.0198,-36.9276],[-73.0203,-36.9271],[-73.0222,-36.9251],[-73.0241,-36.9227],[-73.0272,-36.9213,0.0],[-73.0305,-36.9224],[-73.0321,-36.9226],[-73.033,-36.9228],[-73.0354,-36.9256],[-73.036,-36.9266],[-73.0362,-36.9273]]]}"
