"ID","walkshed.text"
11,"{""type"":""Polygon"",""coordinates"":[[[-70.6524,-33.4524],[-70.6516,-33.4507],[-70.6507,-33.4493],[-70.6492,-33.4471,0.0],[-70.6472,-33.4431],[-70.6446,-33.4409,0.0],[-70.6422,-33.4402],[-70.6404,-33.4402],[-70.6384,-33.4415],[-70.6343,-33.4436,0.0],[-70.6333,-33.444],[-70.6331,-33.4441],[-70.6318,-33.4448],[-70.6293,-33.4461,0.0],[-70.6281,-33.4468,0.0],[-70.6298,-33.4495],[-70.6298,-33.4522,0.0],[-70.6298,-33.4523],[-70.6304,-33.4532],[-70.6325,-33.4547,0.0],[-70.6355,-33.4579],[-70.6364,-33.4591,0.0],[-70.6389,-33.4596,0.0],[-70.6433,-33.4578,0.0],[-70.6457,-33.4562],[-70.65,-33.4542],[-70.6524,-33.4524]]]}"
12,"{""type"":""Polygon"",""coordinates"":[[[-70.6751,-33.4087,0.0],[-70.6727,-33.406],[-70.6704,-33.4028,0.0],[-70.6704,-33.4028],[-70.6704,-33.4028,0.0],[-70.6699,-33.4034,0.0],[-70.6654,-33.4016,0.0],[-70.6624,-33.402],[-70.6611,-33.4022],[-70.6576,-33.4032],[-70.6554,-33.4052],[-70.6546,-33.406],[-70.6535,-33.4072],[-70.6516,-33.4101],[-70.6544,-33.4138],[-70.6559,-33.4165],[-70.6565,-33.4174,0.0],[-70.6573,-33.4176],[-70.6607,-33.418],[-70.662,-33.4181],[-70.6636,-33.4179,0.0],[-70.6653,-33.4169],[-70.6675,-33.4155],[-70.6688,-33.4147],[-70.6702,-33.4136],[-70.6722,-33.4119],[-70.6751,-33.4087,0.0]]]}"
13,"{""type"":""Polygon"",""coordinates"":[[[-70.6687,-33.4249],[-70.6673,-33.4211,0.0],[-70.6646,-33.4183],[-70.6637,-33.4175,0.0],[-70.6618,-33.4157,0.0],[-70.6581,-33.4137,0.0],[-70.655,-33.415],[-70.6527,-33.4164],[-70.6507,-33.4177],[-70.6485,-33.4204],[-70.6476,-33.4217,0.0],[-70.6468,-33.4247,0.0],[-70.6465,-33.426,0.0],[-70.6477,-33.4284],[-70.6509,-33.4313,0.0],[-70.6517,-33.4324],[-70.6532,-33.4327,0.0],[-70.6533,-33.4327,0.0],[-70.6561,-33.4303],[-70.6607,-33.4307],[-70.6611,-33.4305],[-70.6639,-33.4279,0.0],[-70.6678,-33.4253],[-70.6687,-33.4249]]]}"
14,"{""type"":""Polygon"",""coordinates"":[[[-70.7102,-33.4585],[-70.7102,-33.4585,0.0],[-70.7101,-33.4586,0.0],[-70.7094,-33.459,0.0],[-70.7083,-33.4595,0.0],[-70.7052,-33.4621],[-70.7044,-33.4627],[-70.7039,-33.4629],[-70.7037,-33.463],[-70.7034,-33.4631],[-70.7023,-33.4635],[-70.7021,-33.4636],[-70.6975,-33.464],[-70.6936,-33.4625,0.0],[-70.6934,-33.4623],[-70.6905,-33.4591,0.0],[-70.6897,-33.4578],[-70.688,-33.4534,0.0],[-70.6882,-33.4532],[-70.6914,-33.4514],[-70.6949,-33.4494,0.0],[-70.6962,-33.4484,0.0],[-70.6975,-33.448],[-70.6985,-33.4488],[-70.7027,-33.4486,0.0],[-70.7039,-33.4495],[-70.7057,-33.4518,0.0],[-70.708,-33.4557],[-70.7092,-33.4573,0.0],[-70.71,-33.4582],[-70.7102,-33.4585]]]}"
15,"{""type"":""Polygon"",""coordinates"":[[[-70.7042,-33.4837],[-70.7036,-33.4818],[-70.7027,-33.4779],[-70.6985,-33.4766,0.0],[-70.6961,-33.4767],[-70.6919,-33.4744],[-70.6877,-33.4743],[-70.6862,-33.4745],[-70.6862,-33.4746],[-70.6828,-33.4783,0.0],[-70.6817,-33.4784,0.0],[-70.6817,-33.4784,0.0],[-70.6816,-33.4784,0.0],[-70.6816,-33.4784],[-70.6828,-33.4788],[-70.6852,-33.4823],[-70.6843,-33.4843],[-70.6843,-33.4845],[-70.6843,-33.4851],[-70.6842,-33.4879],[-70.6844,-33.488],[-70.6886,-33.489,0.0],[-70.6885,-33.4889],[-70.6883,-33.4882],[-70.6917,-33.4847,0.0],[-70.6917,-33.4847],[-70.692,-33.4847],[-70.6952,-33.4863],[-70.6956,-33.4869],[-70.6968,-33.4889],[-70.697,-33.489],[-70.7014,-33.4899],[-70.7015,-33.4895],[-70.7017,-33.4887],[-70.7034,-33.4847],[-70.7042,-33.4837]]]}"
16,"{""type"":""Polygon"",""coordinates"":[[[-70.6835,-33.4723,0.0],[-70.6834,-33.4722],[-70.6829,-33.4719],[-70.681,-33.47],[-70.6795,-33.4667,0.0],[-70.6763,-33.4633],[-70.6731,-33.4601,0.0],[-70.672,-33.4602],[-70.6719,-33.4608,0.0],[-70.6719,-33.4608,0.0],[-70.6718,-33.4613],[-70.6717,-33.4624],[-70.6717,-33.4627],[-70.6716,-33.4635],[-70.6716,-33.4647],[-70.671,-33.4672],[-70.6702,-33.468],[-70.67,-33.4682],[-70.6691,-33.4692],[-70.665,-33.4673],[-70.665,-33.4665],[-70.665,-33.4662,0.0],[-70.665,-33.4659],[-70.665,-33.4655,0.0],[-70.665,-33.4649],[-70.6626,-33.4671],[-70.6595,-33.4692],[-70.6584,-33.47,0.0],[-70.6584,-33.4701],[-70.6602,-33.4734,0.0],[-70.6626,-33.4757],[-70.6648,-33.4778,0.0],[-70.6692,-33.4792,0.0],[-70.6708,-33.48],[-70.6723,-33.4808,0.0],[-70.6737,-33.4797,0.0],[-70.6748,-33.4785,0.0],[-70.6749,-33.4784,0.0],[-70.6763,-33.4761],[-70.6775,-33.4721],[-70.6819,-33.4731],[-70.6822,-33.4735],[-70.6835,-33.4726],[-70.6835,-33.4723,0.0]]]}"
17,"{""type"":""Polygon"",""coordinates"":[[[-70.71,-33.4606],[-70.7089,-33.4582],[-70.7074,-33.4567],[-70.7057,-33.4552],[-70.7045,-33.4541],[-70.7034,-33.454],[-70.7024,-33.4542],[-70.6977,-33.4534,0.0],[-70.6968,-33.454],[-70.6921,-33.4543],[-70.6895,-33.4579,0.0],[-70.6893,-33.4591],[-70.6917,-33.4623,0.0],[-70.692,-33.4626],[-70.6933,-33.4641,0.0],[-70.6973,-33.4666],[-70.698,-33.4673,0.0],[-70.6985,-33.4677,0.0],[-70.7018,-33.4694],[-70.7064,-33.4686,0.0],[-70.7097,-33.4666,0.0],[-70.7099,-33.4665,0.0],[-70.7097,-33.4643],[-70.71,-33.4606]]]}"
18,"{""type"":""Polygon"",""coordinates"":[[[-70.6896,-33.4443],[-70.6875,-33.4425],[-70.6873,-33.4396],[-70.6866,-33.437],[-70.6863,-33.437],[-70.6822,-33.4347,0.0],[-70.6816,-33.4338],[-70.6807,-33.433,0.0],[-70.6795,-33.4321],[-70.6784,-33.432],[-70.6773,-33.4327],[-70.6747,-33.4342],[-70.6729,-33.435],[-70.6703,-33.4377],[-70.6686,-33.4387,0.0],[-70.6685,-33.4388,0.0],[-70.668,-33.4391,0.0],[-70.6666,-33.4401],[-70.665,-33.4411],[-70.6661,-33.4423,0.0],[-70.6683,-33.4446],[-70.669,-33.4453],[-70.6694,-33.4458],[-70.6723,-33.4492,0.0],[-70.674,-33.451,0.0],[-70.6753,-33.4517,0.0],[-70.6772,-33.4525],[-70.6779,-33.4528,0.0],[-70.6806,-33.4514,0.0],[-70.6838,-33.4491],[-70.6852,-33.4478],[-70.6881,-33.4456],[-70.6896,-33.4443]]]}"
19,"{""type"":""Polygon"",""coordinates"":[[[-70.6777,-33.4189],[-70.6773,-33.4194],[-70.677,-33.4199],[-70.6757,-33.4215],[-70.6756,-33.4216],[-70.6723,-33.425,0.0],[-70.6716,-33.4271,0.0],[-70.6666,-33.427],[-70.6665,-33.427],[-70.6662,-33.4271],[-70.6659,-33.4272],[-70.6655,-33.4274],[-70.6651,-33.4275],[-70.6649,-33.4276],[-70.6647,-33.4276],[-70.6642,-33.4278],[-70.664,-33.4279],[-70.6605,-33.4294],[-70.6605,-33.4295],[-70.6603,-33.4294],[-70.6592,-33.4285],[-70.6565,-33.4244],[-70.6532,-33.421],[-70.6563,-33.4182,0.0],[-70.6586,-33.417],[-70.6616,-33.4157],[-70.6641,-33.4142],[-70.6649,-33.4138],[-70.6682,-33.4128],[-70.6686,-33.4127],[-70.6696,-33.4137],[-70.6705,-33.4146],[-70.6744,-33.4162],[-70.6753,-33.4163,0.0],[-70.6762,-33.4164],[-70.6763,-33.4164,0.0],[-70.6777,-33.4189]]]}"
20,"{""type"":""Polygon"",""coordinates"":[[[-70.6685,-33.4512],[-70.6658,-33.453],[-70.6651,-33.4535],[-70.661,-33.4558,0.0],[-70.6597,-33.4565,0.0],[-70.6565,-33.4588,0.0],[-70.6555,-33.4596,0.0],[-70.6536,-33.4582,0.0],[-70.6521,-33.4569,0.0],[-70.6508,-33.4556,0.0],[-70.6496,-33.4541,0.0],[-70.648,-33.4515],[-70.6467,-33.4498],[-70.6457,-33.4482],[-70.6447,-33.4462,0.0],[-70.6471,-33.4432],[-70.6472,-33.4431],[-70.6506,-33.4421],[-70.6535,-33.4406],[-70.6578,-33.4381,0.0],[-70.6583,-33.4377,0.0],[-70.6601,-33.4393],[-70.6633,-33.443],[-70.6634,-33.4432],[-70.6643,-33.4448],[-70.6666,-33.4474,0.0],[-70.6667,-33.4476,0.0],[-70.6685,-33.4512]]]}"
