"ID","walkshed.text"
11,"{""type"":""Polygon"",""coordinates"":[[[-70.2686,-27.422],[-70.2685,-27.422],[-70.2683,-27.4219],[-70.2681,-27.4218],[-70.264,-27.4199],[-70.263,-27.4191],[-70.2626,-27.4189],[-70.2623,-27.4189],[-70.259,-27.4185],[-70.2582,-27.4186],[-70.2582,-27.4189],[-70.2579,-27.4235],[-70.2569,-27.425],[-70.2594,-27.4247],[-70.2598,-27.4246],[-70.261,-27.4238],[-70.2651,-27.4224],[-70.2686,-27.422]]]}"
12,"{""type"":""Polygon"",""coordinates"":[[[-70.3311,-27.383],[-70.331,-27.3826],[-70.3305,-27.3811],[-70.3304,-27.3811],[-70.3303,-27.3811],[-70.328,-27.3808],[-70.3263,-27.3766],[-70.3286,-27.3758],[-70.3298,-27.3761],[-70.3293,-27.3746],[-70.3287,-27.3735],[-70.3269,-27.373],[-70.3252,-27.3727],[-70.3247,-27.3726],[-70.3227,-27.3723],[-70.3209,-27.3723],[-70.3196,-27.3741],[-70.3146,-27.3741],[-70.3139,-27.3786],[-70.3139,-27.3789],[-70.3141,-27.382],[-70.3144,-27.3844],[-70.3175,-27.3865],[-70.3182,-27.3857],[-70.3208,-27.3838],[-70.3232,-27.3881],[-70.323,-27.3884],[-70.3228,-27.3886],[-70.3227,-27.3888],[-70.3261,-27.3884],[-70.3281,-27.388],[-70.3279,-27.3873],[-70.3292,-27.3836],[-70.3311,-27.383]]]}"
13,"{""type"":""Polygon"",""coordinates"":[[[-70.308,-27.3886],[-70.308,-27.3896],[-70.3078,-27.3933],[-70.3076,-27.3972],[-70.3074,-27.4003],[-70.3036,-27.4004],[-70.2993,-27.4009],[-70.2947,-27.4014],[-70.2918,-27.4018],[-70.2916,-27.4004],[-70.2914,-27.3987],[-70.291,-27.3952],[-70.2905,-27.3935],[-70.2899,-27.3905],[-70.2897,-27.3881],[-70.2911,-27.3873],[-70.2911,-27.3873],[-70.2931,-27.3873],[-70.2969,-27.3864],[-70.297,-27.3864],[-70.2984,-27.3865],[-70.3029,-27.3858],[-70.3063,-27.3854],[-70.3066,-27.3855],[-70.308,-27.3884],[-70.308,-27.3886]]]}"
14,"{""type"":""Polygon"",""coordinates"":[[[-70.3434,-27.3592],[-70.3387,-27.3594],[-70.3347,-27.3567],[-70.3346,-27.3566],[-70.334,-27.3559],[-70.334,-27.3559],[-70.3316,-27.3532],[-70.3313,-27.3529],[-70.3312,-27.3529],[-70.33,-27.3519],[-70.3292,-27.3523],[-70.3291,-27.3525],[-70.329,-27.3526],[-70.3251,-27.3571],[-70.3243,-27.3608],[-70.3238,-27.3641],[-70.3241,-27.3686],[-70.3242,-27.3686],[-70.3242,-27.3686],[-70.3244,-27.3687],[-70.3281,-27.3689],[-70.3316,-27.3694],[-70.3357,-27.37],[-70.3374,-27.3702],[-70.3386,-27.37],[-70.3409,-27.3661],[-70.3426,-27.3638],[-70.3434,-27.3592]]]}"
15,"{""type"":""Polygon"",""coordinates"":[[[-70.3214,-27.3689],[-70.3212,-27.368],[-70.321,-27.3637],[-70.3207,-27.3613],[-70.317,-27.3606],[-70.315,-27.3603],[-70.3137,-27.36],[-70.3134,-27.36],[-70.3094,-27.3596],[-70.3092,-27.3597],[-70.3084,-27.3602],[-70.3065,-27.3613],[-70.3059,-27.3616],[-70.3059,-27.3618],[-70.3058,-27.362],[-70.307,-27.3659],[-70.3071,-27.3701],[-70.3078,-27.3734],[-70.3078,-27.3736],[-70.3111,-27.3746],[-70.3122,-27.3747],[-70.3154,-27.3748],[-70.319,-27.3718],[-70.3194,-27.3718],[-70.3201,-27.3719],[-70.3207,-27.372],[-70.3214,-27.3699],[-70.3214,-27.3689]]]}"
16,"{""type"":""Polygon"",""coordinates"":[[[-70.3123,-27.3861],[-70.3122,-27.3855],[-70.3109,-27.3811],[-70.3108,-27.381],[-70.307,-27.3811],[-70.304,-27.3816],[-70.3026,-27.3819],[-70.3001,-27.3836],[-70.2969,-27.3864],[-70.2942,-27.3873],[-70.2938,-27.3876],[-70.2938,-27.3876],[-70.294,-27.3881],[-70.2946,-27.3928],[-70.2948,-27.3945],[-70.2952,-27.3974],[-70.2993,-27.397],[-70.3034,-27.3971],[-70.3073,-27.3969],[-70.3118,-27.3962],[-70.3117,-27.3923],[-70.3122,-27.3896],[-70.3123,-27.3861]]]}"
17,"{""type"":""Polygon"",""coordinates"":[[[-70.3187,-27.3746],[-70.3183,-27.3769],[-70.3184,-27.3796],[-70.3185,-27.3803],[-70.3186,-27.3809],[-70.3186,-27.3814],[-70.3187,-27.3835],[-70.3187,-27.3838],[-70.3182,-27.3857],[-70.3163,-27.389],[-70.3126,-27.3899],[-70.3118,-27.39],[-70.3083,-27.3898],[-70.3036,-27.3902],[-70.3024,-27.3903],[-70.3022,-27.3902],[-70.3021,-27.3891],[-70.302,-27.3864],[-70.3011,-27.3834],[-70.3011,-27.3825],[-70.3011,-27.3821],[-70.3011,-27.3811],[-70.3037,-27.3769],[-70.3055,-27.3767],[-70.309,-27.3751],[-70.3106,-27.3746],[-70.3111,-27.3745],[-70.3148,-27.3742],[-70.3187,-27.3746]]]}"
18,"{""type"":""Polygon"",""coordinates"":[[[-70.3266,-27.3682],[-70.3265,-27.3692],[-70.3261,-27.3711],[-70.326,-27.3713],[-70.3257,-27.3729],[-70.3256,-27.3731],[-70.3251,-27.3753],[-70.3249,-27.3758],[-70.3218,-27.3767],[-70.318,-27.3775],[-70.315,-27.3775],[-70.3125,-27.3774],[-70.3092,-27.3772],[-70.3089,-27.3771],[-70.3086,-27.3739],[-70.3084,-27.3699],[-70.3099,-27.3652],[-70.3102,-27.364],[-70.3119,-27.3629],[-70.3146,-27.3615],[-70.3146,-27.3615],[-70.3153,-27.3616],[-70.3161,-27.3618],[-70.3181,-27.3622],[-70.3218,-27.3625],[-70.3254,-27.3621],[-70.3255,-27.3622],[-70.3264,-27.3646],[-70.3266,-27.3668],[-70.3266,-27.3682]]]}"
19,"{""type"":""Polygon"",""coordinates"":[[[-70.3216,-27.3571],[-70.3203,-27.3592],[-70.3186,-27.3638],[-70.3179,-27.3658],[-70.3174,-27.3659],[-70.3158,-27.3655],[-70.3122,-27.366],[-70.3112,-27.3665],[-70.31,-27.3666],[-70.3075,-27.3667],[-70.3069,-27.366],[-70.3064,-27.3629],[-70.3028,-27.3607],[-70.3018,-27.3603],[-70.3012,-27.3601],[-70.3047,-27.3599],[-70.3069,-27.3579],[-70.3077,-27.3571],[-70.3091,-27.3559],[-70.3119,-27.3544],[-70.3146,-27.3517],[-70.3154,-27.3521],[-70.3198,-27.3536],[-70.3208,-27.3546],[-70.3211,-27.3553],[-70.3211,-27.3553],[-70.3216,-27.3571]]]}"
20,"{""type"":""Polygon"",""coordinates"":[[[-70.355,-27.3521],[-70.3535,-27.3544],[-70.3535,-27.3593],[-70.3528,-27.3601],[-70.3511,-27.361],[-70.3468,-27.3621],[-70.3453,-27.3653],[-70.3448,-27.3654],[-70.3441,-27.3656],[-70.3409,-27.3656],[-70.3408,-27.3656],[-70.3407,-27.3655],[-70.3401,-27.3647],[-70.3397,-27.3609],[-70.3398,-27.3608],[-70.34,-27.3606],[-70.3429,-27.3576],[-70.3434,-27.354],[-70.3433,-27.3531],[-70.3432,-27.3523],[-70.3432,-27.3522],[-70.3444,-27.3513],[-70.3459,-27.3506],[-70.3463,-27.3505],[-70.3473,-27.3506],[-70.3513,-27.3508],[-70.3521,-27.351],[-70.355,-27.3521]]]}"
21,"{""type"":""Polygon"",""coordinates"":[[[-70.3242,-27.3757],[-70.3238,-27.3784],[-70.3237,-27.3795],[-70.3233,-27.3838],[-70.3209,-27.3837],[-70.3182,-27.3857],[-70.3175,-27.3865],[-70.3159,-27.3874],[-70.3148,-27.3879],[-70.3129,-27.3886],[-70.3112,-27.3863],[-70.3067,-27.3855],[-70.3067,-27.3855],[-70.3061,-27.3819],[-70.3059,-27.3773],[-70.3055,-27.3746],[-70.3075,-27.3731],[-70.3106,-27.3721],[-70.312,-27.3717],[-70.3126,-27.3716],[-70.3134,-27.3717],[-70.3162,-27.3717],[-70.321,-27.3724],[-70.3221,-27.3726],[-70.3234,-27.3741],[-70.3242,-27.3757]]]}"
22,"{""type"":""Polygon"",""coordinates"":[[[-70.3308,-27.3668],[-70.3308,-27.3677],[-70.3303,-27.3725],[-70.3302,-27.3726],[-70.3296,-27.3759],[-70.3286,-27.3758],[-70.3263,-27.3766],[-70.325,-27.3798],[-70.3231,-27.38],[-70.3185,-27.3795],[-70.3145,-27.3792],[-70.3132,-27.3792],[-70.3131,-27.379],[-70.313,-27.3774],[-70.3131,-27.3742],[-70.3129,-27.3702],[-70.3135,-27.3659],[-70.3136,-27.3658],[-70.3138,-27.3657],[-70.317,-27.3648],[-70.3175,-27.3649],[-70.3189,-27.3651],[-70.3234,-27.3644],[-70.3262,-27.3648],[-70.328,-27.3657],[-70.3308,-27.3668]]]}"
23,"{""type"":""Polygon"",""coordinates"":[[[-70.3242,-27.3757],[-70.3239,-27.3784],[-70.3237,-27.3795],[-70.3233,-27.3838],[-70.3208,-27.3837],[-70.3182,-27.3857],[-70.3175,-27.3865],[-70.3159,-27.3874],[-70.3148,-27.3879],[-70.3129,-27.3886],[-70.3112,-27.3863],[-70.3069,-27.3856],[-70.3066,-27.3857],[-70.3066,-27.3856],[-70.3059,-27.3819],[-70.3057,-27.3772],[-70.3054,-27.3745],[-70.3074,-27.3731],[-70.3105,-27.372],[-70.3119,-27.3716],[-70.3119,-27.3716],[-70.3128,-27.3715],[-70.3135,-27.3715],[-70.3163,-27.3716],[-70.3209,-27.3723],[-70.3221,-27.3725],[-70.3223,-27.3725],[-70.3234,-27.3741],[-70.3242,-27.3757]]]}"
24,"{""type"":""Polygon"",""coordinates"":[[[-70.3252,-27.3572],[-70.3251,-27.3565],[-70.3251,-27.356],[-70.325,-27.3559],[-70.3247,-27.3556],[-70.3214,-27.355],[-70.3198,-27.3529],[-70.3196,-27.3525],[-70.3192,-27.3513],[-70.3142,-27.3514],[-70.3119,-27.3544],[-70.3097,-27.3557],[-70.3091,-27.3559],[-70.3077,-27.3571],[-70.3069,-27.3579],[-70.3053,-27.3597],[-70.3084,-27.3634],[-70.3087,-27.3634],[-70.3117,-27.3628],[-70.3149,-27.3632],[-70.316,-27.3634],[-70.3177,-27.3638],[-70.3189,-27.3634],[-70.3229,-27.3611],[-70.3237,-27.3611],[-70.324,-27.3612],[-70.3247,-27.3597],[-70.325,-27.3587],[-70.3252,-27.3572]]]}"
