"","Ciudad","Población.con.Acceso","Población.sin.Acceso","Población.total"
"1","Copiapo",76,24,100
"2","Gran Coquimbo",93,7,100
"3","Gran Concepcion",91,9,100
"4","Temuco",91,9,100
"5","Gran Santiago",93,7,100
"6","Valdivia",94,6,100
